ActorID,ActorName,Vendor,Language,Is_VIP,Rate_Multiplier,Base_Efficiency
AsiaSound_Chinese_001,Linlin,AsiaSound,Chinese,False,1.0,1.0762
AsiaSound_Chinese_002,Kaixin,AsiaSound,Chinese,False,1.0,1.258
AsiaSound_Chinese_003,Ning,AsiaSound,Chinese,False,1.0,1.1346
AsiaSound_Chinese_004,Tiantian,AsiaSound,Chinese,False,1.0,0.9723
AsiaSound_Chinese_005,Huiling,AsiaSound,Chinese,False,1.0,0.7551
AsiaSound_Chinese_006,Enci,AsiaSound,Chinese,False,1.0,0.9582
AsiaSound_Chinese_007,Chunyu,AsiaSound,Chinese,True,2.86,0.8299
AsiaSound_Chinese_008,Kailing,AsiaSound,Chinese,True,2.05,0.8839
AsiaSound_Chinese_009,Guiying,AsiaSound,Chinese,False,1.0,1.1177
AsiaSound_Chinese_010,Jia,AsiaSound,Chinese,False,1.0,1.334
AsiaSound_Chinese_011,Fang,AsiaSound,Chinese,False,1.0,1.0789
AsiaSound_Chinese_012,Daming,AsiaSound,Chinese,False,1.0,0.7608
AsiaSound_Chinese_013,Dandan,AsiaSound,Chinese,True,2.8,1.0889
AsiaSound_Chinese_014,Anqi,AsiaSound,Chinese,False,1.0,1.2393
AsiaSound_Chinese_015,Mingzhu,AsiaSound,Chinese,False,1.0,0.878
AsiaSound_Chinese_016,Qiong,AsiaSound,Chinese,False,1.0,0.9732
AsiaSound_Chinese_017,Zhiqing,AsiaSound,Chinese,False,1.0,1.0029
AsiaSound_Chinese_018,Shulei,AsiaSound,Chinese,False,1.0,0.843
AsiaSound_Chinese_019,Bao,AsiaSound,Chinese,False,1.0,1.1297
AsiaSound_Chinese_020,Ailin,AsiaSound,Chinese,False,1.0,0.9758
AsiaSound_Chinese_021,Baobao,AsiaSound,Chinese,False,1.0,1.0839
AsiaSound_Chinese_022,Lihua,AsiaSound,Chinese,False,1.0,0.8225
AsiaSound_Chinese_023,Guang,AsiaSound,Chinese,False,1.0,0.9125
AsiaSound_Chinese_024,Jingjing,AsiaSound,Chinese,False,1.0,1.1445
AsiaSound_Chinese_025,Ruiling,AsiaSound,Chinese,False,1.0,0.9254
AsiaSound_Chinese_026,Panpan,AsiaSound,Chinese,False,1.0,1.3454
AsiaSound_Chinese_027,Chenguang,AsiaSound,Chinese,True,2.4,0.9201
AsiaSound_Chinese_028,Xiaoli,AsiaSound,Chinese,False,1.0,1.0449
